timestamp, ecg_measurement
0, 3.0272778402699663
1, 3.0132170978627673
2, 2.999859392575928
3, 3.001968503937008
4, 2.97384701912261
5, 2.937992125984252
6, 2.9401012373453317
7, 2.9731439820022496
8, 2.9647075365579303
9, 2.9780652418447695
10, 2.9569741282339708
11, 2.954865016872891
12, 2.9401012373453317
13, 2.935883014623172
14, 2.921119235095613
15, 2.8929977502812148
16, 2.923931383577053
17, 2.9731439820022496
18, 2.9647075365579303
19, 2.9485376827896514
20, 2.97173790776153
21, 2.9801743532058493
22, 2.997750281214848
23, 2.987907761529809
24, 2.9907199100112485
25, 3.0413385826771653
26, 3.0856299212598426
27, 3.0708661417322833
28, 3.0532902137232845
29, 3.0546962879640045
30, 3.031496062992126
31, 3.0047806524184475
32, 2.9506467941507313
33, 2.906355455568054
34, 2.8683914510686166
35, 2.841676040494938
36, 2.841676040494938
37, 2.81214848143982
38, 2.8030089988751405
39, 2.843082114735658
40, 2.8360517435320585
41, 2.8205849268841394
42, 2.7748875140607425
43, 2.6167041619797526
44, 2.467660292463442
45, 2.6806805399325087
46, 3.3816085489313834
47, 4.146512935883015
48, 4.413667041619798
49, 4.049493813273341
50, 3.675478065241845
51, 3.470191226096738
52, 3.191085489313836
53, 2.9147919010123733
54, 2.8374578177727785
55, 2.842379077615298
56, 2.7910573678290214
57, 2.7474690663667043
58, 2.770669291338583
59, 2.768560179977503
60, 2.7720753655793025
61, 2.781917885264342
62, 2.798087739032621
63, 2.8163667041619798
64, 2.8065241844769404
65, 2.7945725534308212
66, 2.7840269966254216
67, 2.735517435320585
68, 2.735517435320585
69, 2.720050618672666
70, 2.734111361079865
71, 2.7460629921259843
72, 2.6848987626546683
73, 2.672244094488189
74, 2.6659167604049494
75, 2.645528683914511
76, 2.628655793025872
77, 2.5576490438695165
78, 2.5182789651293587
79, 2.5541338582677167
80, 2.5527277840269966
81, 2.531636670416198
82, 2.455005624296963
83, 2.4901574803149606
84, 2.6138920134983126
85, 2.7003655793025874
86, 2.708098987626547
87, 2.7249718785151855
88, 2.81285151856018
89, 2.8662823397075368
90, 2.8690944881889764
91, 2.831833520809899
92, 2.800196850393701
93, 2.8044150731158606
94, 2.8374578177727785
95, 2.861361079865017
96, 2.8480033745781776
97, 2.8634701912260967
98, 2.8522215973003373
99, 2.824803149606299
100, 2.8395669291338583
101, 2.8374578177727785
102, 2.798087739032621
103, 2.856439820022497
104, 2.8986220472440944
105, 2.803712035995501
106, 2.8226940382452193
107, 2.876124859392576
108, 2.869797525309336
109, 2.8522215973003373
110, 2.862767154105737
111, 2.845894263217098
112, 2.824803149606299
113, 2.854330708661417
114, 2.8409730033745784
115, 2.8304274465691788
116, 2.8480033745781776
117, 2.918307086614173
118, 2.932367829021372
119, 2.940804274465692
120, 2.9450224971878516
121, 2.937289088863892
122, 2.9590832395950506
123, 3.0321991001124857
124, 3.0596175478065244
125, 3.044853768278965
126, 2.9991563554555682
127, 2.97244094488189
128, 2.9443194600674913
129, 2.8979190101237347
130, 2.8641732283464565
131, 2.8304274465691788
132, 2.793166479190101
133, 2.8030089988751405
134, 2.798087739032621
135, 2.7601237345331833
136, 2.7896512935883013
137, 2.8051181102362204
138, 2.780511811023622
139, 2.65396512935883
140, 2.4908605174353204
141, 2.675056242969629
142, 3.3028683914510686
143, 4.002390326209224
144, 4.363048368953881
145, 4.1233127109111365
146, 3.7464848143982
147, 3.5686164229471316
148, 3.28810461192351
149, 2.9590832395950506
150, 2.7769966254218224
151, 2.7573115860517436
152, 2.7559055118110236
153, 2.7741844769403823
154, 2.7580146231721034
155, 2.720753655793026
156, 2.736220472440945
157, 2.7397356580427448
158, 2.702474690663667
159, 2.671541057367829
160, 2.716535433070866
161, 2.7713723284589427
162, 2.767857142857143
163, 2.7369235095613047
164, 2.7003655793025874
165, 2.7059898762654666
166, 2.713723284589426
167, 2.6757592800899888
168, 2.6349831271091113
169, 2.644122609673791
170, 2.628655793025872
171, 2.5878796400449944
172, 2.5724128233970753
173, 2.5681946006749157
174, 2.5351518560179978
175, 2.5112485939257594
176, 2.4964848143982
177, 2.4767997750281214
178, 2.4803149606299213
179, 2.530230596175478
180, 2.5752249718785154
181, 2.630061867266592
182, 2.6940382452193474
183, 2.737626546681665
184, 2.7896512935883013
185, 2.782620922384702
186, 2.7418447694038246
187, 2.7896512935883013
188, 2.81214848143982
189, 2.8290213723284587
190, 2.8107424071991
191, 2.784730033745782
192, 2.7748875140607425
193, 2.8008998875140607
194, 2.800196850393701
195, 2.768560179977503
196, 2.7755905511811023
197, 2.8163667041619798
198, 2.8142575928009
199, 2.8079302587176604
200, 2.793166479190101
201, 2.750984251968504
202, 2.736220472440945
203, 2.779808773903262
204, 2.797384701912261
205, 2.791760404949381
206, 2.8290213723284587
207, 2.8065241844769404
208, 2.767857142857143
209, 2.786136107986502
210, 2.7868391451068617
211, 2.8304274465691788
212, 2.828318335208099
213, 2.7875421822272215
214, 2.871203599550056
215, 2.8859673790776155
216, 2.8993250843644542
